Syntax version=4
Wed Jun 11 09:51:11 2025
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		pitch_kalman	roll_kalman	MOTangle10	MOTangle100	MOTangle11	MOTangle9	KalmanX.angle	KalmanX.velocity	offset	velocity_k	angle_robot	dt	velocity_robot	KalmanX.bias	KalmanY.bias	DDSangle01	DDSangle30	DDScurrent01	DDScurrent30	DDSrpm01	DDSrpm30	anglex01_offset	anglex30_offset	distnacex01	revolutionx01	DDSangle01m_old	zerocrossx01down	zerocrossx01up	delatx01	distnacex30	DDSvelocity01	DDSvelocity30	iq	Xerror	SSref	Xref	error_lateral	lateral_out	integral_lateral
D:	time(ms)	(0x20000498,7)	(0x20000490,7)	(0x2000066c,6)	(0x20000658,6)	(0x20000694,6)	(0x20000680,6)	(0x200000a8,7)	(0x200000b8,7)	(0x20000000,7)	(0x20000330,7)	(0x20000350,7)	(0x20000478,7)	(0x20000360,7)	(0x200000b0,7)	(0x20000100,7)	(0x20000404,6)	(0x20000420,6)	(0x2000040c,6)	(0x20000428,6)	(0x20000408,6)	(0x20000424,6)	(0x20000448,6)	(0x2000045c,6)	(0x20000444,6)	(0x2000044c,5)	(0x2000041c,6)	(0x20000454,5)	(0x20000450,5)	(0x2000043c,6)	(0x20000458,6)	(0x20000414,6)	(0x20000430,6)	(0x20000328,7)	(0x20000378,7)	(0x200003a8,7)	(0x20000370,7)	(0x20000394,6)	(0x20000390,6)	(0x20000398,6)
D:	78.36	-9.744016	68.028221	-0.000192	0.000192	0.000192	-0.000192	68.028221	0.037921	-1.500000	0.050650	69.528221	0.018000	0.050650	-3.793647	0.769731	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.854016	0.376971	0.000000
D:	87.05	-9.889872	68.012515	-0.000192	0.000192	0.000192	-0.000192	68.012515	-0.035938	-1.500000	0.038530	69.512515	0.019000	0.038530	-3.788489	0.769731	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.999872	0.384993	0.000000
D:	95.57	-9.889872	68.012515	-0.000192	0.000192	0.000192	-0.000192	68.012515	-0.035938	-1.500000	0.038530	69.512515	0.019000	0.038530	-3.788489	0.769731	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.999872	0.384993	0.000000
D:	103.86	-10.183119	68.029586	-0.000192	0.000192	0.000192	-0.000192	68.029586	0.030799	-1.500000	-0.031758	69.529586	0.018000	-0.031758	-3.794157	1.030032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.293119	0.401122	0.000000
D:	113.45	-10.183119	68.029586	-0.000192	0.000192	0.000192	-0.000192	68.029586	0.030799	-1.500000	-0.031758	69.529586	0.018000	-0.031758	-3.794157	1.030032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.293119	0.401122	0.000000
D:	122.45	-10.183119	68.029586	-0.000192	0.000192	0.000192	-0.000192	68.021005	0.133897	-1.500000	0.027287	69.521005	0.018000	0.027287	-3.790385	1.025519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.303023	0.401666	0.000000
D:	131.47	-10.193023	68.021005	-0.000192	0.000192	0.000192	-0.000192	68.021005	0.133897	-1.500000	0.027287	69.521005	0.018000	0.027287	-3.790385	1.025519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.303023	0.401666	0.000000
D:	140.52	-10.193023	68.021005	-0.000192	0.000192	0.000192	-0.000192	68.008994	-0.136557	-1.500000	0.127912	69.508994	0.018000	0.127912	-3.787107	1.201726	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.511795	0.413149	0.000000
D:	149.41	-10.401795	68.008994	-0.000192	0.000192	0.000192	-0.000192	68.008994	-0.136557	-1.500000	0.127912	69.508994	0.018000	0.127912	-3.787107	1.201726	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.511795	0.413149	0.000000
D:	158.46	-10.401795	68.008994	-0.000192	0.000192	0.000192	-0.000192	68.008994	-0.136557	-1.500000	0.127912	69.508994	0.018000	0.127912	-3.787107	1.370166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.511795	0.413149	0.000000
